name,market,date,open,high,low,close,volume,amount,currency
恒瑞医药,港股,2025-07-02,54.872,56.222,54.322,55.172,2433876.0,134912732.45,HKD
恒瑞医药,港股,2025-07-03,55.572,57.072,55.172,56.772,1599600.0,90001024.6,HKD
恒瑞医药,港股,2025-07-04,56.772,59.072,56.772,58.972,3033894.0,177660502.4,HKD
恒瑞医药,港股,2025-07-07,58.922,59.272,57.972,59.172,898000.0,53028055.0,HKD
恒瑞医药,港股,2025-07-08,59.172,61.672,58.772,59.972,5137512.0,314256501.6,HKD
恒瑞医药,港股,2025-07-09,60.972,70.922,60.022,69.372,10678012.0,718744308.7,HKD
恒瑞医药,港股,2025-07-10,69.172,75.022,68.572,74.322,9432566.0,684884935.0,HKD
恒瑞医药,港股,2025-07-11,72.272,78.522,71.272,71.972,7827794.0,580692063.85,HKD
恒瑞医药,港股,2025-07-14,71.772,78.572,71.772,74.422,5780298.0,437016838.55,HKD
恒瑞医药,港股,2025-07-15,74.772,75.722,71.322,71.722,4735602.0,343005653.7,HKD
恒瑞医药,港股,2025-07-16,73.172,74.672,69.872,70.022,4050850.0,291672017.5,HKD
恒瑞医药,港股,2025-07-17,70.022,72.222,69.872,71.472,4227878.0,303191684.85,HKD
恒瑞医药,港股,2025-07-18,72.272,76.472,71.772,72.772,5656223.0,418899728.95,HKD
恒瑞医药,港股,2025-07-21,72.172,72.972,70.772,72.172,2756810.0,198452454.6,HKD
恒瑞医药,港股,2025-07-22,72.172,73.872,71.272,71.622,3692150.0,268395212.5,HKD
恒瑞医药,港股,2025-07-23,72.272,73.222,71.022,71.772,2495855.0,180555006.55,HKD
恒瑞医药,港股,2025-07-24,72.722,74.572,72.272,72.722,4801494.0,352109494.6,HKD
恒瑞医药,港股,2025-07-25,72.772,72.772,67.222,67.822,7567132.0,526363224.35,HKD
恒瑞医药,港股,2025-07-28,75.072,85.122,71.772,84.522,19328833.0,1500302483.0,HKD
恒瑞医药,港股,2025-07-29,86.422,87.572,80.272,81.572,11953095.0,988124889.2,HKD
恒瑞医药,港股,2025-07-30,80.772,83.022,77.772,79.122,6386600.0,514431721.6,HKD
恒瑞医药,港股,2025-07-31,79.122,81.572,77.072,78.622,6729800.0,533053164.1,HKD
恒瑞医药,港股,2025-08-01,79.572,80.272,74.772,74.872,5071542.0,391744218.1,HKD
恒瑞医药,港股,2025-08-04,74.072,79.222,72.972,78.772,6206611.0,478373103.9,HKD
